"residence_camp","ref","sex","birthplace","age","name","distance","activity","region"
"Popo1","BE31","M","Bétou","Adulte","V36",45920.2204447816,"dance","betou"
"Popo1","BE33","F","","Adulte","V2",2327.92306718681,"dance","betou"
"Popo1","BE33","F","","Adulte","V78",23809.6832486286,"dance","betou"
"Bobo1","BE48","M","Bétou","Adulte","V57",156387.844005655,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V3",5542.55909212492,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V4",9240.5125114101,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V5",9322.65975117146,"dance","betou"
"Mondika","BE60","M","","Adulte","V13",24119.0729475011,"dance","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V41",37553.7139342612,"dance","betou"
"Wongo3","BE76","F","","Adulte","V42",14756.3570286135,"dance","betou"
"Koueta","BE90","M","Wongo1","Adulte","V1",8426.33787066172,"dance","betou"
"Popo2","BE93","M","Wongo4","Adulte","V1",8192.54984744406,"dance","betou"
"Popo2","BE93","M","Wongo4","Adulte","V78",21651.9894950508,"dance","betou"
"Popo1","BE94","M","","Adulte","V1",4888.71977624945,"dance","betou"
"Popo1","BE94","M","","Adulte","V17",5774.8112476928,"dance","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V34",64177.1727224624,"dance","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V35",54125.9985687909,"dance","betou"
"Ngola2","BE117","F","Bétou","Adulte","V36",47753.6730646294,"dance","betou"
"Mondika","BE125","F","Bétou","Adulte","V78",23317.8380072542,"dance","betou"
"Mondika","BE129","F","Bétou","Adulte","V5",9708.737407542,"dance","betou"
"Mondika","BE129","F","Bétou","Adulte","V57",162980.617098377,"dance","betou"
"Wongo5","BE4","M","Ngongou","Adulte","V10",320.513627837879,"fam_visit","betou"
"Wongo5","BE4","M","Ngongou","Adulte","V12",322.222200727956,"fam_visit","betou"
"Wongo5","BE8","F","","Adulte","V7",862.155913126479,"fam_visit","betou"
"Wongo5","BE8","F","","Adulte","V9",450.129624156412,"fam_visit","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V36",68209.6549060489,"fam_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V57",184133.18435564,"fam_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V78",2300.77958010419,"fam_visit","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V36",68209.6549060489,"fam_visit","betou"
"Wongo2","BE17","F","Kenkenze","Personne âgée","V57",184133.18435564,"fam_visit","betou"
"Popo3","BE26","M","Bétou","Adulte","V36",47697.8257632452,"fam_visit","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V36",41908.8680516593,"fam_visit","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V78",28848.0876034545,"fam_visit","betou"
"Popo3","BE36","M","Bétou","Adulte","V36",47697.8257632452,"fam_visit","betou"
"Popo3","BE40","F","Bétou","Adulte","V36",47697.8257632452,"fam_visit","betou"
"Bobo1","BE48","M","Bétou","Adulte","V36",41908.8680516593,"fam_visit","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V36",41908.8680516593,"fam_visit","betou"
"Bobo1","BE51","M","","Adulte","V57",156387.844005655,"fam_visit","betou"
"Bobo1","BE52","F","Bobo1","Adulte","V5",9322.65975117146,"fam_visit","betou"
"Bobo1","BE52","F","Bobo1","Adulte","V6",9479.96063143912,"fam_visit","betou"
"Mondika","BE60","M","","Adulte","V22",7486.77405207569,"fam_visit","betou"
"Mondika","BE60","M","","Adulte","V23",7445.23624227663,"fam_visit","betou"
"Mondika","BE60","M","","Adulte","V24",7425.05111960083,"fam_visit","betou"
"Mondika","BE60","M","","Adulte","V26",114016.178880455,"fam_visit","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V42",14395.5356495419,"fam_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V42",15188.9594725149,"fam_visit","betou"
"Wongo3","BE73","M","","Adulte","V42",14756.3570286135,"fam_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V42",14769.7910184279,"fam_visit","betou"
"Wongo3","BE77","F","Kenkenze","Adulte","V42",14756.3570286135,"fam_visit","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V31",164588.650316218,"fam_visit","betou"
"Koueta","BE86","F","(Centrafrique)","Personne âgée","V4",239.982576047827,"fam_visit","betou"
"Koueta","BE90","M","Wongo1","Adulte","V4",239.982576047827,"fam_visit","betou"
"Popo2","BE93","M","Wongo4","Adulte","V6",239.982576047827,"fam_visit","betou"
"Popo2","BE93","M","Wongo4","Adulte","V36",47619.7961692448,"fam_visit","betou"
"Popo2","BE93","M","Wongo4","Adulte","V37",49738.0831856771,"fam_visit","betou"
"Popo1","BE96","F","Bétou","Adulte","V36",45920.2204447816,"fam_visit","betou"
"Bobo1","BE102","F","Bétou","Adulte","V36",41908.8680516593,"fam_visit","betou"
"Bobo1","BE102","F","Bétou","Adulte","V65",457575.738900553,"fam_visit","betou"
"Bobo1","BE109","M","Bétou","Adulte","V36",41908.8680516593,"fam_visit","betou"
"Bobo1","BE113","M","Bobo1","Adulte","V36",41908.8680516593,"fam_visit","betou"
"Mondika","BE121","M","Bétou","Adulte","V36",49229.383807769,"fam_visit","betou"
"Mondika","BE125","F","Bétou","Adulte","V36",49229.383807769,"fam_visit","betou"
"Mondika","BE129","F","Bétou","Adulte","V23",7445.23624227663,"fam_visit","betou"
"Mondika","BE129","F","Bétou","Adulte","V24",7425.05111960083,"fam_visit","betou"
"Mondika","BE129","F","Bétou","Adulte","V42",12796.6505218314,"fam_visit","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V3",5542.55909212492,"fish","betou"
"Bobo1","BE32","F","Enyelle","Adulte","V4",9240.5125114101,"fish","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V22",5888.5896668716,"fish","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V24",5856.46259780541,"fish","betou"
"Koueta","BE90","M","Wongo1","Adulte","V22",9479.96063143912,"fish","betou"
"Koueta","BE90","M","Wongo1","Adulte","V23",8926.78100105973,"fish","betou"
"Koueta","BE90","M","Wongo1","Adulte","V24",8919.4643306398,"fish","betou"
"Popo2","BE93","M","Wongo4","Adulte","V22",9240.5125114101,"fish","betou"
"Popo2","BE93","M","Wongo4","Adulte","V23",8687.6095218444,"fish","betou"
"Popo2","BE93","M","Wongo4","Adulte","V24",8680.25113115657,"fish","betou"
"Popo1","BE94","M","","Adulte","V22",5542.55909212492,"fish","betou"
"Popo1","BE94","M","","Adulte","V23",5028.08151536222,"fish","betou"
"Popo1","BE94","M","","Adulte","V24",5016.90498920877,"fish","betou"
"Popo1","BE94","M","","Adulte","V36",45920.2204447816,"fish","betou"
"Popo1","BE96","F","Bétou","Adulte","V2",2327.92306718681,"fish","betou"
"Popo1","BE96","F","Bétou","Adulte","V22",5542.55909212492,"fish","betou"
"Popo1","BE96","F","Bétou","Adulte","V23",5028.08151536222,"fish","betou"
"Popo1","BE96","F","Bétou","Adulte","V24",5016.90498920877,"fish","betou"
"Bobo1","BE102","F","Bétou","Adulte","V23",570.637756133114,"fish","betou"
"Bobo1","BE102","F","Bétou","Adulte","V24",573.314519672603,"fish","betou"
"Bobo1","BE113","M","Bobo1","Adulte","V23",570.637756133114,"fish","betou"
"Bobo1","BE113","M","Bobo1","Adulte","V24",573.314519672603,"fish","betou"
"Ngola2","BE114","M","","Adolescent","V22",6015.1607861229,"fish","betou"
"Ngola2","BE114","M","","Adolescent","V23",5993.70687446804,"fish","betou"
"Ngola2","BE114","M","","Adolescent","V24",5973.61467081468,"fish","betou"
"Bobo1","BE115","F","Boyelé","Adulte","V23",570.637756133114,"fish","betou"
"Ngola2","BE117","F","Bétou","Adulte","V22",6015.1607861229,"fish","betou"
"Ngola2","BE117","F","Bétou","Adulte","V23",5993.70687446804,"fish","betou"
"Ngola2","BE117","F","Bétou","Adulte","V24",5973.61467081468,"fish","betou"
"Mondika","BE125","F","Bétou","Adulte","V22",7486.77405207569,"fish","betou"
"Mondika","BE125","F","Bétou","Adulte","V23",7445.23624227663,"fish","betou"
"Mondika","BE125","F","Bétou","Adulte","V24",7425.05111960083,"fish","betou"
"Wongo5","BE8","F","","Adulte","V12",322.222200727956,"friend_visit","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V8",62.0680441912924,"friend_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V9",62.0680441912924,"friend_visit","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V10",141.044613212853,"friend_visit","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V8",62.0680441912924,"friend_visit","betou"
"Wongo2","BE17","F","Kenkenze","Personne âgée","V10",141.044613212853,"friend_visit","betou"
"Koueta","BE19","F","Wongo1","Personne âgée","V5",164.098383315161,"friend_visit","betou"
"Popo3","BE26","M","Bétou","Adulte","V4",87.547799745501,"friend_visit","betou"
"Popo3","BE36","M","Bétou","Adulte","V4",87.547799745501,"friend_visit","betou"
"Popo3","BE39","F","Bétou","Adulte","V4",87.547799745501,"friend_visit","betou"
"Bobo1","BE51","M","","Adulte","V23",570.637756133114,"friend_visit","betou"
"Bobo1","BE51","M","","Adulte","V24",573.314519672603,"friend_visit","betou"
"Ngola3","BE57","F","Mimbelli","Adulte","V17",226.498625857612,"friend_visit","betou"
"Ngola3","BE61","F","Enyelle","Adulte","V41",37553.7139342612,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V7",862.155913126479,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V8",458.550417275102,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V9",450.129624156412,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V10",320.513627837879,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V13",396.035465922452,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V14",719.733846947196,"friend_visit","betou"
"Wongo5","BE63","M","Kenkenze","Adulte","V15",1100.94942371367,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V7",862.155913126479,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V8",458.550417275102,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V9",450.129624156412,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V10",320.513627837879,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V13",396.035465922452,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V14",719.733846947196,"friend_visit","betou"
"Wongo5","BE64","F","","Adolescent","V15",1100.94942371367,"friend_visit","betou"
"Wongo5","BE65","F","","Adolescent","V7",862.155913126479,"friend_visit","betou"
"Wongo5","BE65","F","","Adolescent","V8",458.550417275102,"friend_visit","betou"
"Wongo5","BE65","F","","Adolescent","V9",450.129624156412,"friend_visit","betou"
"Wongo5","BE65","F","","Adolescent","V10",320.513627837879,"friend_visit","betou"
"Wongo3","BE73","M","","Adulte","V8",62.0680441912924,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V7",745.615800059294,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V9",62.0680441912924,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V10",141.044613212853,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V11",458.550417275102,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V12",780.616818305202,"friend_visit","betou"
"Wongo2","BE75","M","Bétou","Adulte","V13",854.10138808547,"friend_visit","betou"
